Category,Sentence
Password Reset,I can’t remember my password.
Password Reset,How do I recover my login credentials
Password Reset,What steps do I follow to reset my password
Password Reset,I forgot my password and need help
Password Reset,How can I regain access to my account
Password Reset,Where do I go to change my password
Password Reset,I need to reset my account password
Password Reset,How do I restore my forgotten password
Password Reset,My password isn’t working
Password Reset,Help me reset my login password
Account Deletion,How do I permanently delete my account
Account Deletion,I want to close my profile forever
Account Deletion,What is the process to remove my account
Account Deletion,How can I erase all my account data
Account Deletion,I want to deactivate my profile
Account Deletion,How do I disable my account
Account Deletion,Can I remove my account from the system
Account Deletion,I want to stop using my account completely
Account Deletion,How do I shut down my account
Account Deletion,I need instructions to delete my profile
Billing,How do I update my credit card
Billing,I want to change my payment details
Billing,Where can I edit my billing information
Billing,How do I add a new payment method
Billing,My card expired
Billing,How do I remove an old payment method
Billing,I want to update my billing address
Billing,How do I fix a failed payment
Billing,Why was my payment declined
Billing,How do I check my billing history
Order Tracking,Where is my order right now
Order Tracking,How do I track my shipment
Order Tracking,I want to see my delivery progress
Order Tracking,Has my package been shipped yet
Order Tracking,How do I know when my order will arrive
Order Tracking,Where can I find my tracking number
Order Tracking,My order is late
Order Tracking,How do I check the status of my purchase
Order Tracking,I want to follow my package location
Order Tracking,How do I confirm if my order was dispatched
Customer Support,How do I contact support
Customer Support,I need help from customer service
Customer Support,Where can I reach the support team
Customer Support,How do I talk to a representative
Customer Support,I want to open a support ticket
Customer Support,How do I report a problem
Customer Support,I need technical assistance
Customer Support,How do I get help with my issue
Customer Support,Who can I contact for troubleshooting
Customer Support,I want to speak with customer care
Profile Settings,How do I update my personal info
Profile Settings,I want to change my profile picture
Profile Settings,Where can I edit my username
Profile Settings,How do I modify my account settings
Profile Settings,I want to update my phone number
Profile Settings,How do I change my email
Profile Settings,Where can I adjust my privacy settings
Profile Settings,How do I update my preferences
Profile Settings,I want to edit my profile details
Profile Settings,How do I change my display name
App Issues,The app is not loading
App Issues,Why is the website so slow
App Issues,I can’t log in to my account
App Issues,The page keeps crashing
App Issues,I’m getting an error message
App Issues,The app freezes when I open it
App Issues,Why can’t I access my dashboard
App Issues,The website isn’t responding
App Issues,Something is wrong with the app
App Issues,I’m unable to use the platform
Product Info,Where can I find product details
Product Info,I want to know more about this item
Product Info,What features does this product have
Product Info,How do I compare two products
Product Info,Is this item available in my region
Product Info,What colors does this product come in
Product Info,How do I check product specifications
Product Info,Does this item support warranty
Product Info,I want to see customer reviews
Product Info,What is the price of this product
Shipping,How long does shipping take
Shipping,What are your delivery options
Shipping,Do you offer express shipping
Shipping,How much is the delivery fee
Shipping,Do you ship internationally
Shipping,When will my package arrive
Shipping,What courier do you use
Shipping,How do I change my delivery address
Shipping,Can I schedule a delivery time
Shipping,Why is my delivery delayed
Returns,How do I return an item
Returns,I want a refund for my purchase
Returns,What is your return policy
Returns,How long do refunds take
Returns,Where do I send returned items
